ts;id;resource;event
Sun Feb 27 00:38:20 CET 2022;1432;system;order_completed
Sun Feb 27 00:38:36 CET 2022;1452;agv;transport_to_cell2_buffer
Sun Feb 27 00:39:54 CET 2022;1506;system;new_order
Sun Feb 27 00:39:54 CET 2022;1506;system;direct_to_line2
Sun Feb 27 00:41:50 CET 2022;1507;system;new_order
Sun Feb 27 00:41:50 CET 2022;1507;system;direct_to_line2
Sun Feb 27 00:41:56 CET 2022;1508;system;new_order
Sun Feb 27 00:41:56 CET 2022;1508;system;direct_to_line1
Sun Feb 27 00:43:56 CET 2022;1448;cell1_buffer;enter_cell1
Sun Feb 27 00:43:56 CET 2022;1448;cell1;cell1_operation
Sun Feb 27 00:44:02 CET 2022;1446;system;order_completed
Sun Feb 27 00:45:38 CET 2022;1433;system;order_completed
Sun Feb 27 00:48:13 CET 2022;1509;system;new_order
Sun Feb 27 00:48:13 CET 2022;1509;system;direct_to_line2
Sun Feb 27 00:51:05 CET 2022;1450;cell1_buffer;enter_cell1
Sun Feb 27 00:51:05 CET 2022;1450;cell1;cell1_operation
Sun Feb 27 00:51:10 CET 2022;1448;system;order_completed
Sun Feb 27 00:55:12 CET 2022;1510;system;new_order
Sun Feb 27 00:55:12 CET 2022;1510;system;direct_to_line1
Sun Feb 27 00:55:28 CET 2022;1434;cell2_buffer;enter_cell2
Sun Feb 27 00:55:28 CET 2022;1434;cell2;cell2_operation
Sun Feb 27 00:55:28 CET 2022;1453;agv;transport_to_cell1_buffer
Sun Feb 27 00:58:07 CET 2022;1450;system;order_completed
Sun Feb 27 00:58:38 CET 2022;1453;cell1_buffer;enter_cell1
Sun Feb 27 00:58:38 CET 2022;1454;agv;transport_to_cell2_buffer
Sun Feb 27 00:58:38 CET 2022;1453;cell1;cell1_operation
Sun Feb 27 01:00:42 CET 2022;1511;system;new_order
Sun Feb 27 01:00:42 CET 2022;1511;system;direct_to_line2
Sun Feb 27 01:02:21 CET 2022;1436;cell2_buffer;enter_cell2
Sun Feb 27 01:02:21 CET 2022;1436;cell2;cell2_operation
Sun Feb 27 01:02:21 CET 2022;1455;agv;transport_to_cell1_buffer
Sun Feb 27 01:02:27 CET 2022;1434;system;order_completed
Sun Feb 27 01:04:16 CET 2022;1456;agv;transport_to_cell1_buffer
Sun Feb 27 01:05:32 CET 2022;1457;agv;transport_to_cell2_buffer
Sun Feb 27 01:07:23 CET 2022;1455;cell1_buffer;enter_cell1
Sun Feb 27 01:07:23 CET 2022;1455;cell1;cell1_operation
Sun Feb 27 01:07:29 CET 2022;1453;system;order_completed
Sun Feb 27 01:09:35 CET 2022;1437;cell2_buffer;enter_cell2
Sun Feb 27 01:09:35 CET 2022;1437;cell2;cell2_operation
Sun Feb 27 01:09:35 CET 2022;1458;agv;transport_to_cell1_buffer
Sun Feb 27 01:09:41 CET 2022;1436;system;order_completed
Sun Feb 27 01:11:02 CET 2022;1459;agv;transport_to_cell2_buffer
Sun Feb 27 01:13:08 CET 2022;1456;cell1_buffer;enter_cell1
Sun Feb 27 01:13:08 CET 2022;1456;cell1;cell1_operation
Sun Feb 27 01:13:14 CET 2022;1455;system;order_completed
Sun Feb 27 01:13:19 CET 2022;1512;system;new_order
Sun Feb 27 01:13:19 CET 2022;1512;system;direct_to_line1
Sun Feb 27 01:14:24 CET 2022;1513;system;new_order
Sun Feb 27 01:14:24 CET 2022;1513;system;direct_to_line2
Sun Feb 27 01:15:05 CET 2022;1514;system;new_order
Sun Feb 27 01:15:05 CET 2022;1514;system;direct_to_line2
Sun Feb 27 01:15:41 CET 2022;1439;cell2_buffer;enter_cell2
Sun Feb 27 01:15:41 CET 2022;1439;cell2;cell2_operation
Sun Feb 27 01:15:41 CET 2022;1460;agv;transport_to_cell2_buffer
Sun Feb 27 01:15:47 CET 2022;1437;system;order_completed
Sun Feb 27 01:19:01 CET 2022;1458;cell1_buffer;enter_cell1
Sun Feb 27 01:19:01 CET 2022;1458;cell1;cell1_operation
Sun Feb 27 01:19:07 CET 2022;1456;system;order_completed
Sun Feb 27 01:20:56 CET 2022;1439;system;order_completed
Sun Feb 27 01:22:33 CET 2022;1515;system;new_order
Sun Feb 27 01:22:33 CET 2022;1515;system;direct_to_line1
Sun Feb 27 01:24:49 CET 2022;1458;system;order_completed
Sun Feb 27 01:29:15 CET 2022;1516;system;new_order
Sun Feb 27 01:29:15 CET 2022;1516;system;direct_to_line1
Sun Feb 27 01:30:20 CET 2022;1517;system;new_order
Sun Feb 27 01:30:20 CET 2022;1517;system;direct_to_line2
Sun Feb 27 01:31:01 CET 2022;1440;cell2_buffer;enter_cell2
Sun Feb 27 01:31:01 CET 2022;1440;cell2;cell2_operation
Sun Feb 27 01:31:01 CET 2022;1461;agv;transport_to_cell1_buffer
Sun Feb 27 01:31:34 CET 2022;1461;cell1_buffer;enter_cell1
Sun Feb 27 01:31:34 CET 2022;1462;agv;transport_to_cell2_buffer
Sun Feb 27 01:31:34 CET 2022;1461;cell1;cell1_operation
Sun Feb 27 01:32:35 CET 2022;1518;system;new_order
Sun Feb 27 01:32:35 CET 2022;1518;system;direct_to_line1
Sun Feb 27 01:35:04 CET 2022;1519;system;new_order
Sun Feb 27 01:35:04 CET 2022;1519;system;direct_to_line2
Sun Feb 27 01:35:36 CET 2022;1520;system;new_order
Sun Feb 27 01:35:36 CET 2022;1520;system;direct_to_line2
Sun Feb 27 01:36:42 CET 2022;1461;system;order_completed
Sun Feb 27 01:36:54 CET 2022;1445;cell2_buffer;enter_cell2
Sun Feb 27 01:36:54 CET 2022;1445;cell2;cell2_operation
