ts;resource;state
Thu Feb 24 05:09:16 CET 2022;agv;idle
Thu Feb 24 05:09:16 CET 2022;agv;busy
Thu Feb 24 05:09:23 CET 2022;cell1;idle
Thu Feb 24 05:09:23 CET 2022;cell1;busy
Thu Feb 24 05:12:38 CET 2022;agv;idle
Thu Feb 24 05:13:19 CET 2022;agv;busy
Thu Feb 24 05:14:40 CET 2022;cell1;idle
Thu Feb 24 05:14:40 CET 2022;cell1;busy
Thu Feb 24 05:15:52 CET 2022;cell2;idle
Thu Feb 24 05:15:52 CET 2022;cell2;busy
Thu Feb 24 05:16:10 CET 2022;agv;idle
Thu Feb 24 05:18:15 CET 2022;agv;busy
Thu Feb 24 05:21:38 CET 2022;cell1;idle
Thu Feb 24 05:21:38 CET 2022;cell1;busy
Thu Feb 24 05:23:21 CET 2022;agv;idle
Thu Feb 24 05:23:21 CET 2022;agv;busy
Thu Feb 24 05:23:25 CET 2022;cell2;idle
Thu Feb 24 05:23:25 CET 2022;cell2;busy
Thu Feb 24 05:25:36 CET 2022;agv;idle
Thu Feb 24 05:25:36 CET 2022;agv;busy
Thu Feb 24 05:26:46 CET 2022;cell1;idle
Thu Feb 24 05:28:07 CET 2022;agv;idle
Thu Feb 24 05:28:07 CET 2022;cell1;busy
Thu Feb 24 05:28:07 CET 2022;agv;busy
Thu Feb 24 05:29:28 CET 2022;cell2;idle
Thu Feb 24 05:29:28 CET 2022;cell2;failure
Thu Feb 24 05:32:59 CET 2022;agv;idle
Thu Feb 24 05:32:59 CET 2022;agv;busy
Thu Feb 24 05:34:04 CET 2022;cell1;idle
Thu Feb 24 05:36:41 CET 2022;agv;idle
Thu Feb 24 05:37:00 CET 2022;agv;busy
Thu Feb 24 05:38:21 CET 2022;agv;idle
Thu Feb 24 05:38:21 CET 2022;cell1;busy
Thu Feb 24 05:39:14 CET 2022;cell2;idle
Thu Feb 24 05:39:14 CET 2022;cell2;busy
Thu Feb 24 05:42:00 CET 2022;agv;busy
Thu Feb 24 05:44:07 CET 2022;cell1;idle
Thu Feb 24 05:44:46 CET 2022;agv;idle
Thu Feb 24 05:44:46 CET 2022;cell1;busy
Thu Feb 24 05:44:46 CET 2022;agv;busy
Thu Feb 24 05:44:54 CET 2022;cell2;idle
Thu Feb 24 05:44:54 CET 2022;cell2;busy
Thu Feb 24 05:47:49 CET 2022;agv;idle
Thu Feb 24 05:47:49 CET 2022;agv;busy
Thu Feb 24 05:50:17 CET 2022;cell1;idle
Thu Feb 24 05:51:09 CET 2022;cell2;idle
Thu Feb 24 05:51:09 CET 2022;cell2;busy
Thu Feb 24 05:51:09 CET 2022;agv;idle
Thu Feb 24 05:51:23 CET 2022;agv;busy
Thu Feb 24 05:54:57 CET 2022;agv;idle
Thu Feb 24 05:56:09 CET 2022;agv;failure
Thu Feb 24 05:57:43 CET 2022;cell2;idle
Thu Feb 24 05:57:43 CET 2022;cell2;failure
Thu Feb 24 06:06:12 CET 2022;cell2;idle
Thu Feb 24 06:06:12 CET 2022;cell2;busy
Thu Feb 24 06:08:54 CET 2022;agv;idle
Thu Feb 24 06:08:54 CET 2022;agv;busy
Thu Feb 24 06:09:53 CET 2022;cell1;failure
Thu Feb 24 06:11:01 CET 2022;agv;idle
Thu Feb 24 06:11:01 CET 2022;agv;busy
Thu Feb 24 06:11:44 CET 2022;cell2;idle
Thu Feb 24 06:11:44 CET 2022;cell2;busy
Thu Feb 24 06:14:32 CET 2022;agv;idle
Thu Feb 24 06:14:32 CET 2022;agv;busy
Thu Feb 24 06:17:33 CET 2022;agv;idle
Thu Feb 24 06:17:33 CET 2022;agv;busy
Thu Feb 24 06:18:23 CET 2022;cell2;idle
Thu Feb 24 06:18:23 CET 2022;cell2;busy
Thu Feb 24 06:20:10 CET 2022;cell1;idle
Thu Feb 24 06:20:10 CET 2022;cell1;busy
Thu Feb 24 06:20:20 CET 2022;agv;idle
Thu Feb 24 06:20:20 CET 2022;agv;busy
Thu Feb 24 06:21:48 CET 2022;agv;idle
Thu Feb 24 06:21:48 CET 2022;agv;busy
Thu Feb 24 06:24:05 CET 2022;cell2;idle
Thu Feb 24 06:24:05 CET 2022;cell2;busy
Thu Feb 24 06:24:51 CET 2022;agv;idle
Thu Feb 24 06:25:46 CET 2022;cell1;idle
Thu Feb 24 06:25:46 CET 2022;cell1;busy
Thu Feb 24 06:26:48 CET 2022;agv;busy
Thu Feb 24 06:29:27 CET 2022;cell2;idle
Thu Feb 24 06:29:27 CET 2022;cell2;failure
Thu Feb 24 06:30:55 CET 2022;agv;idle
Thu Feb 24 06:33:15 CET 2022;agv;busy
Thu Feb 24 06:33:32 CET 2022;cell1;idle
Thu Feb 24 06:37:16 CET 2022;agv;idle
Thu Feb 24 06:37:16 CET 2022;agv;busy
Thu Feb 24 06:39:01 CET 2022;agv;idle
Thu Feb 24 06:39:01 CET 2022;cell1;busy
Thu Feb 24 06:39:01 CET 2022;agv;busy
Thu Feb 24 06:40:01 CET 2022;cell2;idle
Thu Feb 24 06:40:01 CET 2022;cell2;busy
Thu Feb 24 06:41:37 CET 2022;agv;idle
Thu Feb 24 06:41:37 CET 2022;agv;busy
Thu Feb 24 06:43:18 CET 2022;agv;idle
Thu Feb 24 06:43:18 CET 2022;agv;busy
Thu Feb 24 06:45:37 CET 2022;cell2;idle
Thu Feb 24 06:45:37 CET 2022;cell2;busy
Thu Feb 24 06:46:00 CET 2022;agv;idle
Thu Feb 24 06:46:23 CET 2022;cell1;idle
Thu Feb 24 06:46:23 CET 2022;cell1;busy
Thu Feb 24 06:47:12 CET 2022;agv;busy
Thu Feb 24 06:50:48 CET 2022;cell1;idle
Thu Feb 24 06:51:16 CET 2022;cell2;idle
Thu Feb 24 06:51:16 CET 2022;cell2;busy
Thu Feb 24 06:52:18 CET 2022;agv;idle
Thu Feb 24 06:52:18 CET 2022;agv;busy
Thu Feb 24 06:55:51 CET 2022;agv;idle
Thu Feb 24 06:55:51 CET 2022;agv;busy
Thu Feb 24 06:56:42 CET 2022;cell2;idle
Thu Feb 24 06:56:42 CET 2022;cell2;busy
Thu Feb 24 06:58:31 CET 2022;agv;idle
Thu Feb 24 06:58:31 CET 2022;cell1;busy
Thu Feb 24 06:59:21 CET 2022;agv;busy
Thu Feb 24 07:02:38 CET 2022;agv;idle
Thu Feb 24 07:03:24 CET 2022;cell2;idle
Thu Feb 24 07:03:24 CET 2022;cell2;failure
Thu Feb 24 07:03:38 CET 2022;agv;busy
Thu Feb 24 07:04:50 CET 2022;agv;idle
Thu Feb 24 07:05:28 CET 2022;cell1;idle
Thu Feb 24 07:05:28 CET 2022;cell1;busy
Thu Feb 24 07:06:50 CET 2022;agv;busy
Thu Feb 24 07:11:25 CET 2022;cell1;idle
Thu Feb 24 07:11:51 CET 2022;cell2;idle
Thu Feb 24 07:11:51 CET 2022;cell2;busy
Thu Feb 24 07:12:05 CET 2022;agv;idle
Thu Feb 24 07:12:05 CET 2022;agv;busy
Thu Feb 24 07:13:47 CET 2022;agv;idle
Thu Feb 24 07:13:47 CET 2022;cell1;busy
Thu Feb 24 07:13:47 CET 2022;agv;busy
Thu Feb 24 07:16:34 CET 2022;cell2;idle
Thu Feb 24 07:16:34 CET 2022;cell2;busy
Thu Feb 24 07:18:18 CET 2022;agv;idle
Thu Feb 24 07:18:18 CET 2022;agv;busy
Thu Feb 24 07:18:20 CET 2022;cell1;idle
Thu Feb 24 07:19:48 CET 2022;agv;idle
Thu Feb 24 07:21:30 CET 2022;agv;busy
Thu Feb 24 07:21:30 CET 2022;agv;idle
Thu Feb 24 07:21:30 CET 2022;cell1;busy
Thu Feb 24 07:21:53 CET 2022;cell2;idle
Thu Feb 24 07:21:53 CET 2022;cell2;busy
Thu Feb 24 07:25:59 CET 2022;cell1;idle
Thu Feb 24 07:26:42 CET 2022;cell2;idle
Thu Feb 24 07:26:42 CET 2022;cell2;busy
Thu Feb 24 07:27:26 CET 2022;agv;busy
Thu Feb 24 07:28:01 CET 2022;agv;idle
Thu Feb 24 07:28:01 CET 2022;cell1;busy
Thu Feb 24 07:29:35 CET 2022;agv;busy
Thu Feb 24 07:32:16 CET 2022;cell1;idle
